ID,Length_px,Width_px,L/W,Angle_deg,Centroid_X,Centroid_Y,Area_px,Perimeter_px
1,65.96,29.91,2.205,60.76,1330,1337,1441.0,166.75
2,74.44,37.19,2.002,55.28,1464,1407,2135.0,186.75
3,61.6,23.77,2.591,124.66,931,1415,1102.0,152.02
4,69.41,32.53,2.134,49.76,1356,1432,1723.0,175.58
5,71.84,30.16,2.382,125.76,1804,1447,1593.0,192.99
6,65.47,29.63,2.21,-171.4,1195,1442,1408.0,170.02
7,67.91,30.32,2.24,165.97,970,1452,1537.0,174.58
8,65.12,27.13,2.4,86.51,921,1547,1320.0,163.1
9,68.29,31.94,2.138,-161.74,1053,1587,1626.0,171.37
10,64.89,27.32,2.376,154.02,1263,1592,1254.0,161.61
11,67.54,22.98,2.939,-154.42,1552,1602,1068.0,161.75
12,74.69,32.6,2.291,116.76,1131,1624,1831.0,189.34
13,75.04,21.77,3.446,67.18,974,1697,1213.0,182.34
14,64.13,27.61,2.323,131.42,777,1755,1406.0,169.58
15,64.32,25.47,2.526,112.88,1204,1785,1193.0,157.54
16,67.06,30.1,2.228,179.57,1442,1778,1523.0,174.27
17,76.94,30.49,2.524,113.02,1049,1804,1791.0,191.68
18,78.15,33.2,2.354,113.53,835,1811,2052.0,203.97
19,65.68,30.48,2.155,-163.79,1357,1791,1570.0,164.95
20,68.34,33.51,2.039,139.46,920,1846,1706.0,181.24
21,64.03,27.8,2.303,-141.8,1251,1854,1381.0,162.51
22,62.29,28.92,2.154,165.08,1153,1857,1345.0,159.37
23,68.24,31.22,2.186,99.6,783,1890,1681.0,179.44
24,63.89,27.47,2.326,114.52,546,1904,1283.0,158.95
25,68.35,29.39,2.325,96.98,1225,1925,1620.0,176.51
26,70.14,27.69,2.533,132.77,1459,1925,1431.0,184.55
27,66.57,30.41,2.189,-147.19,1143,1925,1449.0,173.2
28,75.08,33.47,2.243,46.18,1478,1998,1941.0,196.07
29,74.02,33.5,2.209,71.34,1194,2016,1898.0,188.27
30,67.66,26.75,2.529,-139.65,1284,2024,1427.0,173.75
31,73.44,29.57,2.484,126.23,730,2044,1693.0,183.58
32,77.16,29.11,2.65,97.24,1114,2065,1781.0,194.75
33,62.95,31.82,1.979,134.69,633,2083,1502.0,169.34
34,74.52,32.63,2.284,60.58,1036,2099,1844.0,189.65
35,69.49,29.59,2.349,-148.62,1459,2102,1455.0,180.02
36,71.13,31.37,2.268,178.98,1300,2209,1862.0,178.47
37,73.42,33.36,2.201,143.46,838,2244,1924.0,187.82
38,62.35,28.48,2.189,45.91,1261,2271,1345.0,162.51
39,70.45,32.01,2.201,60.31,769,2759,1692.0,181.1
