ID,Length_px,Width_px,L/W,Angle_deg,Centroid_X,Centroid_Y,Area_px,Perimeter_px
1,65.5,30.22,2.167,57.39,1330,1336,1480.0,176.68
2,73.87,37.0,1.997,55.29,1463,1406,2051.0,198.99
3,61.14,23.61,2.59,125.45,931,1414,1052.0,155.02
4,69.34,32.46,2.136,48.63,1356,1432,1751.0,171.92
5,71.28,29.68,2.402,123.65,1803,1446,1611.0,189.99
6,64.35,30.41,2.116,-171.85,1193,1441,1366.0,174.1
7,67.18,29.59,2.27,166.03,970,1452,1511.0,173.68
8,65.17,26.44,2.465,86.94,920,1546,1310.0,162.02
9,68.33,31.98,2.137,-161.34,1052,1586,1621.0,177.51
10,65.79,26.77,2.458,155.0,1263,1592,1293.0,157.78
11,67.49,23.01,2.933,-154.69,1551,1601,1040.0,167.51
12,74.64,30.69,2.432,115.48,1130,1624,1817.0,188.75
13,74.2,21.34,3.477,67.59,973,1696,1187.0,179.92
14,63.76,28.55,2.233,129.82,776,1755,1424.0,165.79
15,65.3,25.34,2.577,114.33,1203,1783,1188.0,158.37
16,67.89,30.46,2.229,177.45,1441,1777,1510.0,178.51
17,76.16,30.37,2.508,112.8,1048,1804,1810.0,195.17
18,78.29,35.8,2.187,114.2,834,1810,2036.0,209.14
19,65.92,30.5,2.161,-164.17,1355,1790,1491.0,171.44
20,67.75,30.44,2.226,138.28,919,1846,1655.0,174.41
21,64.66,27.18,2.379,-140.04,1249,1854,1275.0,165.1
22,61.35,28.64,2.142,165.57,1153,1856,1346.0,157.54
23,68.46,30.42,2.251,101.44,783,1889,1640.0,174.16
24,63.4,27.84,2.277,112.81,546,1904,1315.0,160.71
25,68.36,29.15,2.345,95.31,1225,1925,1542.0,178.27
26,69.33,26.25,2.641,134.69,1459,1924,1337.0,183.72
27,65.38,29.48,2.218,-148.39,1143,1924,1438.0,177.92
28,74.26,33.95,2.187,45.1,1477,1997,1862.0,201.72
29,73.81,33.92,2.176,70.06,1194,2016,1837.0,194.27
30,67.02,27.59,2.429,-139.48,1283,2023,1417.0,177.34
31,71.64,29.44,2.434,127.54,729,2044,1591.0,185.92
32,77.16,28.79,2.68,96.94,1113,2065,1777.0,195.34
33,62.22,29.79,2.089,135.41,632,2082,1451.0,167.68
34,73.65,32.25,2.284,60.59,1036,2098,1835.0,188.65
35,69.61,29.5,2.359,-149.71,1459,2101,1504.0,172.85
36,71.23,32.39,2.199,178.06,1300,2208,1846.0,182.12
37,72.57,33.18,2.187,142.59,837,2243,1913.0,186.31
38,62.39,28.6,2.181,46.46,1261,2270,1372.0,161.58
39,70.45,32.25,2.185,60.34,769,2758,1697.0,181.1
