ID,Length_px,Width_px,L/W,Angle_deg,Centroid_X,Centroid_Y,Area_px,Perimeter_px
1,66.8,30.49,2.191,61.31,1329,1337,1486.0,169.34
2,73.6,36.42,2.021,55.43,1463,1406,2034.0,196.82
3,60.1,23.48,2.56,125.57,930,1413,1069.0,152.02
4,70.01,31.39,2.231,48.28,1355,1433,1656.0,183.27
5,71.28,29.41,2.423,124.89,1802,1446,1508.0,191.17
6,65.47,27.72,2.361,-171.51,1194,1442,1333.0,172.17
7,67.91,28.9,2.35,165.83,969,1451,1479.0,172.17
8,57.63,20.83,2.766,138.26,1046,1487,872.0,143.95
9,65.18,26.63,2.447,84.63,920,1547,1327.0,160.37
10,68.23,31.89,2.14,-162.27,1052,1586,1600.0,170.02
11,65.73,25.2,2.609,155.02,1262,1591,1237.0,158.95
12,68.41,22.82,2.998,-154.09,1551,1601,1046.0,164.85
13,74.23,30.44,2.439,116.37,1130,1623,1732.0,190.65
14,57.01,19.14,2.978,142.76,1255,1651,803.0,139.12
15,57.86,23.34,2.479,69.93,1336,1657,913.0,151.3
16,74.0,21.54,3.436,67.38,973,1696,1195.0,181.58
17,63.88,27.96,2.285,128.62,776,1755,1392.0,164.41
18,64.4,25.29,2.547,115.17,1203,1783,1191.0,156.95
19,67.18,30.33,2.215,178.52,1440,1777,1521.0,174.2
20,76.68,30.2,2.539,113.21,1048,1803,1761.0,189.68
21,77.35,32.26,2.398,114.11,834,1810,2032.0,200.65
22,65.25,29.94,2.18,-164.22,1356,1790,1527.0,166.95
23,67.78,32.23,2.103,139.33,920,1845,1623.0,174.58
24,64.65,27.25,2.373,-139.75,1249,1853,1303.0,164.85
25,60.35,28.76,2.098,164.83,1152,1856,1331.0,155.3
26,69.27,30.73,2.254,101.82,782,1888,1624.0,172.95
27,63.04,27.71,2.275,113.56,546,1903,1266.0,158.12
28,67.55,29.06,2.324,95.36,1225,1924,1595.0,174.02
29,68.61,27.63,2.483,134.84,1459,1923,1454.0,176.75
30,66.56,30.12,2.21,-148.48,1143,1924,1479.0,174.27
31,74.96,32.53,2.304,45.03,1478,1996,1784.0,213.48
32,74.13,33.7,2.2,70.34,1194,2015,1838.0,187.2
33,67.03,27.24,2.461,-139.44,1283,2022,1356.0,172.75
34,74.25,29.49,2.518,126.1,729,2042,1687.0,182.79
35,77.14,28.87,2.672,97.3,1113,2064,1763.0,193.34
36,61.8,30.22,2.045,132.5,632,2083,1444.0,165.92
37,73.42,30.95,2.372,61.64,1035,2098,1770.0,189.82
38,69.27,29.86,2.32,-149.37,1458,2100,1464.0,179.1
39,70.23,32.3,2.174,178.35,1300,2208,1845.0,182.12
40,73.03,32.85,2.223,143.41,837,2243,1871.0,190.82
41,62.32,27.78,2.244,46.54,1260,2270,1333.0,159.92
42,70.26,31.76,2.212,62.61,768,2757,1700.0,180.85
