ID,Area,Length
1,1482.0,65.8861964461783
2,2008.0,73.81475357646254
3,1689.0,68.67238735059594
4,1509.0,71.6058216366158
5,1308.0,65.89672471326632
6,1496.0,67.8024043794522
7,1295.0,64.58560596663239
8,1587.0,67.17976832198453
9,1254.0,63.68834570063433
10,1054.0,66.29024312310766
11,1810.0,75.76785972869438
12,1165.0,75.44300231546755
13,1443.0,64.96527836243206
14,1161.0,61.33720421299418
15,1497.0,67.6718401163742
16,1751.0,75.08496981475952
17,1528.0,64.57178173017154
18,1980.0,78.97488281984036
19,1657.0,68.2303395062867
20,1326.0,65.24576252932187
21,1319.0,61.1841272264733
22,1627.0,68.73942182129993
23,1253.0,61.374377649363105
24,1611.0,70.3882705215171
25,1271.0,71.80211781225644
26,1403.0,65.68939373962588
27,1832.0,75.5179929503913
28,1850.0,74.74471971020877
29,1399.0,68.54570532005957
30,1636.0,71.18124045711433
31,1767.0,80.02719454638377
32,1476.0,62.96040433469414
33,1835.0,75.63827403941414
34,1478.0,69.58616820733408
35,1846.0,71.66510813160137
36,1862.0,72.77362049824252
37,1344.0,62.67687224496391
38,1700.0,71.0773526116161
