ID,Length_px,Width_px,L/W,Angle_deg,Centroid_X,Centroid_Y,Area_px,Perimeter_px
1,66.24,30.85,2.147,58.32,1331,1337,1565.0,172.99
2,74.35,36.87,2.017,56.11,1464,1407,2084.0,194.41
3,58.48,23.39,2.5,125.33,931,1414,1057.0,150.44
4,68.77,32.46,2.119,48.77,1357,1433,1758.0,170.75
5,71.03,30.13,2.357,124.87,1804,1446,1639.0,186.41
6,65.49,28.36,2.309,-172.35,1194,1442,1337.0,175.75
7,67.4,30.33,2.222,165.53,970,1452,1538.0,170.51
8,65.12,27.14,2.4,86.34,921,1547,1318.0,162.27
9,67.64,31.93,2.118,-161.97,1053,1587,1624.0,170.02
10,65.79,27.06,2.432,154.92,1263,1592,1257.0,165.68
11,66.99,22.9,2.926,-155.04,1552,1601,1063.0,157.1
12,74.67,31.03,2.406,116.08,1131,1624,1811.0,191.17
13,75.05,21.29,3.525,68.01,973,1696,1191.0,181.58
14,64.36,27.89,2.307,130.19,776,1756,1390.0,168.17
15,65.23,25.62,2.547,112.62,1204,1785,1265.0,157.2
16,67.27,30.46,2.209,178.07,1441,1778,1527.0,175.44
17,76.3,30.88,2.471,113.01,1049,1805,1824.0,192.99
18,66.36,30.48,2.177,-163.73,1357,1791,1565.0,164.71
19,76.65,33.06,2.318,114.19,835,1811,2036.0,197.99
20,68.86,33.4,2.061,138.76,920,1846,1674.0,178.41
21,64.51,28.02,2.303,-141.02,1250,1855,1282.0,167.68
22,62.05,28.7,2.162,165.35,1153,1857,1333.0,161.37
23,69.22,30.77,2.25,101.23,783,1889,1659.0,175.2
24,63.46,27.33,2.322,114.05,546,1904,1283.0,157.95
25,68.36,29.69,2.303,95.85,1225,1925,1630.0,175.68
26,70.01,28.29,2.475,134.97,1460,1925,1384.0,192.55
27,64.45,28.93,2.228,-148.09,1143,1925,1417.0,176.02
28,74.97,32.57,2.302,45.16,1478,1998,1845.0,201.24
29,74.67,33.45,2.232,71.18,1194,2016,1881.0,186.27
30,67.17,27.85,2.412,-138.8,1284,2024,1433.0,173.92
31,73.48,29.34,2.504,125.31,729,2044,1707.0,186.07
32,77.38,29.19,2.651,97.74,1114,2065,1768.0,196.41
33,62.37,32.63,1.912,133.93,633,2084,1506.0,166.51
34,73.76,32.52,2.268,60.64,1036,2099,1833.0,190.65
35,69.63,30.29,2.299,-148.78,1459,2101,1409.0,180.89
36,71.17,32.14,2.214,178.79,1301,2209,1820.0,185.88
37,73.79,33.22,2.221,143.32,838,2244,1954.0,184.07
38,62.27,27.18,2.291,46.06,1261,2271,1347.0,155.34
39,70.33,32.03,2.196,60.58,769,2759,1722.0,180.51
