ID,Length_px,Width_px,L/W,Angle_deg,Centroid_X,Centroid_Y,Area_px,Perimeter_px
1,66.72,30.02,2.223,59.57,1330,1336,1540.0,168.92
2,73.92,36.73,2.013,54.6,1463,1406,2077.0,193.75
3,60.53,24.11,2.51,124.77,931,1413,1068.0,154.85
4,69.42,32.04,2.167,48.02,1356,1431,1716.0,175.92
5,71.26,30.13,2.365,125.64,1802,1444,1517.0,195.82
6,64.77,27.12,2.389,-170.18,1193,1441,1379.0,167.54
7,66.94,30.08,2.225,165.93,970,1451,1543.0,170.02
8,66.11,26.0,2.543,85.52,920,1546,1281.0,160.78
9,67.62,31.92,2.118,-162.34,1052,1585,1571.0,171.85
10,65.74,27.28,2.41,158.11,1263,1591,1204.0,166.17
11,66.29,22.6,2.934,-155.6,1550,1600,1046.0,160.75
12,74.66,30.55,2.444,115.82,1130,1622,1758.0,190.17
13,74.91,21.6,3.467,67.84,973,1695,1181.0,183.96
14,64.89,28.2,2.301,130.19,776,1754,1405.0,166.75
15,64.38,25.4,2.535,114.3,1203,1783,1186.0,155.54
16,67.08,30.12,2.227,179.41,1440,1777,1513.0,175.2
17,76.66,30.26,2.533,113.89,1048,1803,1765.0,189.34
18,65.52,30.64,2.138,-163.79,1356,1790,1560.0,164.12
19,77.18,32.33,2.387,112.92,834,1810,2009.0,202.31
20,67.73,32.26,2.099,138.83,919,1845,1675.0,180.41
21,64.51,26.83,2.404,-140.98,1249,1854,1278.0,167.68
22,61.27,28.83,2.125,164.19,1152,1856,1287.0,165.78
23,69.19,30.5,2.268,100.81,782,1888,1630.0,172.12
24,61.7,27.51,2.243,112.81,546,1904,1280.0,157.88
25,68.26,28.5,2.395,95.89,1224,1925,1534.0,175.2
26,69.4,26.72,2.597,133.17,1458,1923,1419.0,175.13
27,65.89,29.3,2.249,-148.65,1143,1924,1450.0,174.02
28,75.11,33.24,2.26,46.46,1476,1996,1863.0,200.31
29,74.07,34.13,2.17,70.95,1193,2015,1827.0,188.27
30,67.13,27.61,2.432,-137.84,1283,2023,1437.0,168.51
31,74.05,29.3,2.527,125.63,729,2043,1646.0,182.41
32,77.41,29.4,2.633,96.4,1113,2064,1771.0,191.68
33,62.27,31.13,2.0,133.86,632,2083,1502.0,165.68
34,73.91,30.71,2.407,61.17,1035,2098,1776.0,190.1
35,69.54,29.25,2.378,-151.03,1458,2101,1388.0,179.99
36,70.07,32.09,2.183,179.55,1300,2208,1847.0,180.71
37,74.02,32.65,2.267,143.47,837,2242,1842.0,195.27
38,61.52,28.28,2.175,-135.06,1261,2270,1352.0,160.1
39,70.8,32.24,2.196,61.23,768,2758,1651.0,177.68
