ID,Area,Length
1,1468.0,66.41128864959082
2,2113.0,73.80785030624192
3,1066.0,61.63893984734019
4,1750.0,68.78795692891013
5,1528.0,73.65425775017914
6,1419.0,66.7275568200444
7,1514.0,65.93192790408446
8,1290.0,64.6024884611885
9,1632.0,66.66294380155873
10,1258.0,64.06456935017243
11,1071.0,66.49678935633328
12,1774.0,75.10475835630984
13,1207.0,76.7487040417321
14,1464.0,64.60322089615784
15,1191.0,63.65468676082077
16,1519.0,67.01853725561168
17,1773.0,75.68484440380408
18,2061.0,79.23195491641707
19,1561.0,65.57835116750034
20,1690.0,68.71125805677538
21,1290.0,64.49289903813258
22,1349.0,61.24037071006458
23,1650.0,69.49337108635282
24,1248.0,60.45922618965446
25,1567.0,69.22407315234194
26,1409.0,71.03591876220628
27,1522.0,66.23292556486332
28,1847.0,74.01941464935295
29,1839.0,73.8326682875404
30,1443.0,68.90928286800008
31,1683.0,72.53455540262382
32,1770.0,79.27993602103004
33,1400.0,64.03974179783259
34,1781.0,75.52148582957928
35,1482.0,68.35944122005665
36,1820.0,72.02622671311309
37,1866.0,73.20514431080483
38,1366.0,62.705208670552274
39,1722.0,70.71323464802697
