ID,Length_px,Width_px,L/W,Angle_deg,Centroid_X,Centroid_Y,Area_px,Perimeter_px
1,67.38,30.02,2.245,59.49,1330,1337,1477.0,174.1
2,73.87,36.75,2.01,55.37,1463,1406,2025.0,197.24
3,61.14,24.65,2.481,125.44,931,1414,1064.0,156.61
4,70.08,32.35,2.166,49.04,1356,1432,1695.0,178.92
5,71.28,29.97,2.378,123.52,1802,1446,1581.0,192.65
6,64.75,30.14,2.149,-172.7,1194,1442,1391.0,176.06
7,66.94,29.8,2.246,166.44,970,1452,1514.0,172.85
8,58.35,20.93,2.788,139.34,1046,1487,929.0,140.37
9,65.19,27.15,2.401,85.53,920,1546,1310.0,161.44
10,67.71,31.67,2.138,-161.27,1052,1586,1637.0,173.44
11,65.9,26.2,2.515,156.02,1263,1591,1236.0,160.06
12,67.35,22.8,2.953,-155.75,1551,1600,1044.0,160.75
13,74.18,31.49,2.356,114.89,1130,1623,1795.0,188.41
14,57.6,20.39,2.826,139.55,1254,1652,806.0,134.12
15,60.43,23.68,2.553,69.12,1336,1656,952.0,149.47
16,74.75,21.28,3.513,67.53,973,1696,1182.0,183.17
17,63.78,27.7,2.302,129.62,776,1754,1409.0,163.58
18,65.28,25.59,2.55,113.67,1203,1783,1217.0,157.54
19,67.97,30.32,2.242,178.44,1440,1777,1492.0,178.75
20,76.67,30.06,2.55,113.51,1049,1803,1794.0,191.92
21,77.76,32.48,2.394,113.57,834,1810,2031.0,200.89
22,65.93,30.63,2.152,-164.09,1356,1790,1542.0,166.12
23,67.65,32.69,2.069,138.09,920,1846,1709.0,181.82
24,65.17,26.74,2.437,-143.58,1250,1854,1307.0,164.68
25,60.49,28.74,2.105,164.99,1152,1856,1343.0,155.64
26,68.15,30.33,2.247,100.22,783,1889,1665.0,178.02
27,61.31,27.37,2.24,112.77,546,1904,1262.0,157.3
28,68.35,29.27,2.335,96.64,1225,1924,1584.0,173.78
29,68.55,28.24,2.427,135.45,1459,1924,1355.0,186.17
30,66.57,30.06,2.214,-147.52,1143,1924,1481.0,173.2
31,75.13,32.22,2.332,46.71,1477,1997,1865.0,199.72
32,74.67,34.42,2.17,71.16,1194,2015,1870.0,189.1
33,67.03,27.02,2.481,-139.47,1284,2023,1443.0,169.34
34,73.01,29.26,2.496,125.99,729,2043,1666.0,183.58
35,77.15,28.52,2.705,97.11,1113,2064,1746.0,196.65
36,63.74,28.43,2.242,134.16,632,2082,1440.0,165.68
37,74.04,32.36,2.288,60.47,1035,2099,1738.0,195.14
38,69.62,29.53,2.358,-149.26,1459,2101,1445.0,182.34
39,71.08,32.1,2.214,179.39,1300,2208,1845.0,180.95
40,73.02,33.04,2.21,143.34,838,2243,1939.0,184.07
41,61.68,28.54,2.161,46.35,1261,2270,1343.0,156.75
42,70.34,32.02,2.197,62.05,768,2758,1679.0,179.92
