ID,Length_px,Width_px,L/W,Angle_deg,Centroid_X,Centroid_Y,Area_px,Perimeter_px
1,66.15,29.06,2.276,58.05,1329,1337,1466.0,177.1
2,73.54,36.59,2.01,55.96,1463,1406,2071.0,194.99
3,59.74,22.82,2.618,125.3,930,1413,1046.0,151.44
4,70.09,32.35,2.167,47.78,1356,1432,1706.0,177.1
5,71.27,29.68,2.401,123.28,1802,1446,1516.0,194.79
6,66.35,27.47,2.415,-172.61,1193,1441,1348.0,173.68
7,66.92,29.3,2.284,164.79,969,1452,1508.0,168.85
8,65.19,26.62,2.449,85.54,920,1546,1314.0,160.78
9,67.41,32.18,2.095,-160.2,1052,1586,1608.0,174.85
10,65.79,27.37,2.404,154.97,1262,1592,1284.0,162.61
11,66.16,22.93,2.885,-154.7,1551,1601,1058.0,160.1
12,74.7,31.54,2.369,117.52,1130,1623,1804.0,187.92
13,73.97,21.64,3.419,67.64,973,1696,1192.0,177.92
14,64.96,28.37,2.29,128.83,776,1755,1434.0,168.17
15,64.76,25.88,2.502,113.58,1203,1784,1198.0,155.3
16,67.18,30.29,2.218,178.57,1440,1777,1505.0,175.44
17,76.28,30.29,2.518,113.36,1048,1804,1766.0,191.1
18,76.44,34.32,2.227,112.95,834,1810,2049.0,200.89
19,65.95,30.76,2.144,-163.82,1356,1790,1557.0,163.05
20,67.65,32.13,2.106,138.96,919,1845,1680.0,177.82
21,64.51,27.07,2.383,-141.11,1249,1854,1238.0,166.51
22,60.14,28.63,2.1,165.84,1152,1856,1366.0,152.47
23,69.12,30.34,2.278,100.16,782,1889,1646.0,174.71
24,61.31,27.74,2.21,112.84,546,1904,1288.0,156.71
25,68.36,29.43,2.323,96.07,1225,1924,1612.0,174.85
26,68.68,25.83,2.659,133.7,1459,1923,1372.0,179.1
27,65.73,28.68,2.292,-146.99,1143,1924,1418.0,175.44
28,75.08,33.21,2.26,46.12,1477,1997,1884.0,198.48
29,74.13,33.43,2.217,70.38,1193,2015,1835.0,187.2
30,67.03,26.36,2.543,-139.46,1284,2023,1335.0,179.92
31,74.02,29.11,2.543,126.39,729,2042,1661.0,184.65
32,77.18,30.22,2.554,96.56,1113,2065,1783.0,194.99
33,62.32,29.11,2.14,134.23,632,2082,1441.0,163.1
34,73.82,30.09,2.453,60.8,1035,2098,1786.0,188.89
35,69.3,30.86,2.245,-148.7,1459,2100,1506.0,180.85
36,70.16,32.25,2.176,178.88,1300,2208,1803.0,184.95
37,73.22,33.05,2.215,143.61,837,2242,1910.0,186.65
38,62.41,27.69,2.254,46.37,1260,2269,1350.0,159.34
39,70.44,32.25,2.184,60.61,769,2758,1702.0,177.1
