ID,Length_px,Width_px,L/W,Angle_deg,Centroid_X,Centroid_Y,Area_px,Perimeter_px
1,67.04,30.34,2.21,59.25,1329,1336,1479.0,175.34
2,73.92,36.72,2.013,54.72,1463,1406,2038.0,193.17
3,69.43,32.39,2.143,48.3,1356,1431,1717.0,174.1
4,71.02,29.71,2.39,124.35,1802,1444,1537.0,185.92
5,66.1,28.03,2.358,-172.96,1193,1441,1318.0,170.85
6,67.9,29.3,2.318,165.13,969,1451,1510.0,169.85
7,65.03,25.71,2.529,85.46,920,1546,1282.0,160.61
8,67.04,31.31,2.142,-161.48,1052,1586,1581.0,173.68
9,65.38,25.62,2.552,155.78,1262,1591,1209.0,160.27
10,65.8,22.75,2.892,-155.71,1550,1600,1043.0,154.02
11,73.71,31.81,2.317,115.1,1130,1623,1774.0,193.99
12,74.94,21.56,3.475,67.7,973,1696,1173.0,180.3
13,63.9,28.02,2.28,128.4,776,1755,1396.0,161.68
14,64.84,25.5,2.543,115.51,1203,1783,1158.0,155.09
15,67.08,30.12,2.227,179.38,1440,1777,1531.0,170.12
16,76.28,30.44,2.506,113.36,1048,1803,1756.0,188.68
17,76.31,32.19,2.37,112.51,834,1811,2000.0,196.65
18,66.1,29.83,2.216,-162.69,1355,1790,1504.0,167.92
19,68.32,33.23,2.056,139.22,919,1845,1668.0,176.75
20,64.02,25.52,2.509,-140.36,1248,1854,1250.0,158.06
21,61.37,28.13,2.181,166.08,1152,1856,1359.0,153.88
22,68.99,30.1,2.292,100.65,782,1888,1633.0,171.54
23,63.46,27.2,2.333,114.05,546,1903,1263.0,155.54
24,68.36,28.77,2.376,96.07,1224,1924,1564.0,174.85
25,69.41,25.79,2.692,132.77,1458,1923,1337.0,178.47
26,64.05,28.71,2.231,-147.22,1142,1924,1409.0,168.44
27,74.42,32.44,2.294,46.48,1477,1997,1835.0,195.41
28,73.51,33.78,2.176,70.47,1194,2015,1837.0,187.2
29,66.9,26.36,2.538,-139.59,1284,2023,1429.0,165.92
30,72.78,29.37,2.478,125.84,729,2043,1650.0,180.79
31,77.23,28.37,2.722,98.36,1113,2064,1758.0,193.68
32,62.94,31.22,2.016,135.45,632,2082,1460.0,166.75
33,73.43,31.07,2.363,60.84,1035,2098,1771.0,190.07
34,69.31,28.63,2.421,-148.5,1458,2101,1414.0,174.44
35,71.25,32.36,2.202,177.8,1300,2208,1776.0,184.02
36,73.34,33.3,2.203,142.38,836,2243,1845.0,190.69
37,61.61,27.79,2.217,45.71,1260,2270,1299.0,162.51
38,69.89,32.24,2.168,61.86,768,2757,1688.0,179.1
