ID,Area,Length
1,1471.0,66.79782759000055
2,2070.0,73.58106965929777
3,1059.0,63.54774692454665
4,1746.0,68.76334536192395
5,1510.0,73.73585580952094
6,1343.0,66.00907347789202
7,1471.0,66.80666940432494
8,1270.0,65.21164988032294
9,1604.0,66.97436438627958
10,1247.0,64.4894048631649
11,1028.0,63.936772742730376
12,1765.0,75.55250471472233
13,1171.0,76.14545398339213
14,1423.0,64.66905947056928
15,1200.0,63.262030634950854
16,1542.0,69.11959375983531
17,1802.0,77.45903403827096
18,1486.0,64.80410097153872
19,2018.0,80.15472617222913
20,1669.0,69.19427729713074
21,1245.0,64.14599196567016
22,1320.0,60.53398249364109
23,1642.0,69.33005515885344
24,1297.0,63.70185067945647
25,1556.0,70.14996092138138
26,1355.0,70.0678877760962
27,1411.0,64.80482501775721
28,1816.0,74.93375810493289
29,1803.0,74.8336165520819
30,1391.0,69.2500357835391
31,1648.0,73.16264222502349
32,1750.0,80.12653551718789
33,1462.0,63.363320789977855
34,1753.0,75.22132641313888
35,1448.0,67.97461538806958
36,1814.0,70.6979387600739
37,1894.0,73.27148356088253
38,1337.0,62.7883218876676
39,1675.0,70.58318312220496
