ID,Length_px,Width_px,L/W,Angle_deg,Centroid_X,Centroid_Y,Area_px,Perimeter_px
1,66.88,29.82,2.243,59.38,1329,1336,1476.0,173.92
2,73.9,36.95,2.0,54.95,1463,1406,2073.0,192.75
3,61.11,23.66,2.582,124.95,930,1413,1082.0,151.2
4,69.42,31.59,2.198,49.12,1355,1431,1616.0,178.51
5,71.23,29.66,2.401,126.35,1802,1445,1485.0,179.92
6,65.9,28.14,2.342,-171.85,1193,1441,1353.0,170.85
7,66.64,29.81,2.235,164.33,969,1451,1468.0,178.06
8,65.0,27.07,2.401,86.48,920,1546,1300.0,161.44
9,67.28,31.55,2.133,-162.25,1052,1586,1593.0,168.37
10,65.27,25.94,2.516,152.75,1262,1591,1187.0,163.2
11,67.54,22.84,2.957,-155.17,1551,1601,1073.0,158.51
12,74.65,31.99,2.334,115.76,1130,1622,1753.0,190.17
13,74.57,21.1,3.534,67.62,973,1695,1171.0,181.72
14,63.43,27.57,2.3,131.76,777,1754,1420.0,161.82
15,64.76,25.2,2.57,113.58,1203,1783,1210.0,155.71
16,67.15,29.35,2.288,178.8,1440,1777,1490.0,175.44
17,76.69,30.29,2.532,112.72,1048,1804,1779.0,189.92
18,65.8,30.07,2.188,-164.0,1356,1790,1534.0,163.3
19,76.47,32.71,2.338,113.87,834,1809,2018.0,197.24
20,67.7,30.55,2.216,138.54,919,1845,1664.0,172.41
21,63.36,28.07,2.258,-139.83,1249,1853,1313.0,159.68
22,61.23,28.04,2.184,166.97,1153,1856,1334.0,156.12
23,68.39,30.5,2.243,100.8,782,1888,1612.0,170.12
24,62.95,27.62,2.28,113.97,546,1903,1275.0,156.12
25,67.46,28.06,2.404,95.58,1224,1924,1559.0,171.78
26,69.35,27.5,2.522,134.43,1458,1923,1396.0,181.34
27,66.02,28.71,2.299,-149.47,1143,1924,1382.0,172.44
28,73.78,33.91,2.176,46.94,1476,1997,1828.0,195.03
29,74.13,33.7,2.199,70.37,1193,2015,1820.0,185.2
30,66.44,26.41,2.516,-138.32,1283,2023,1402.0,165.75
31,73.5,29.21,2.516,124.3,728,2043,1638.0,181.58
32,77.25,28.8,2.683,97.55,1113,2064,1736.0,192.27
33,62.19,30.32,2.051,136.89,632,2082,1439.0,163.06
34,73.73,31.54,2.338,58.82,1036,2099,1737.0,194.31
35,69.64,30.21,2.305,-150.95,1459,2100,1446.0,178.06
36,70.17,32.12,2.185,178.81,1299,2207,1825.0,177.88
37,73.4,33.01,2.223,143.2,837,2242,1888.0,187.44
38,61.71,27.9,2.212,46.58,1261,2269,1309.0,161.51
39,69.84,31.73,2.201,62.56,768,2757,1672.0,176.85
